,id,comment_text,label,pred,tag
7768,416c78e131232c4d,Clearly you have a baculum the size of a squirrel.  -Erik Skantze,0,1,FP
17680,5cd0d720f1082884,"While I appreciate your intent, your sales pitch is well off. When someone is faced with corrupt abuse of power, giving an example of a dissident who has embraced such a corrupt system is not a selling point.",0,1,FP
9914,583c3800a5b3b464,"Do what you want, but you'll never get rid of me, that's a promise. Give your sister a kiss for me.",0,1,FP
1917,49789475e15b8f7a,"bye 
o i`ma miss yooh so bad . but i can`t say too much on dhis lil` edit cuz dhat geniac bitch gon` say some to me , && all i`m doin is tryna tell yooh bye , hit me up on myspace , && i`ma miss yooh . luve ya sis , last time yooh gon` see my siq .",0,1,FP
22051,3a7b35c093125414,"Grow up little man, its rather pathetic you sit here trying to use Wikipedia for political attacks.",0,1,FP
1785,198026214400c57f,"""

You said yourself there was no consensus. I said there was and I was correct. And the other person """"blew me out of the water""""? I can dig up hundreds of sources of information that refer to African-Americans as """"Negroes"""" or worse and the mentally challenged as """"idiots, imbeciles, morons"""". The fact that a term has been used popularly in the past does
not make it acceptable or scientific today. You will not find a source that states the ISR was a provisional government because the term is new and part of the evolving science of diplomacy and peace studies. Professor Clarence Timithy  """,0,1,FP
22139,2f6eb95db2cd896f,"How long have editors been putting up with the abuse and racist Zionist POV biases of you, Viriditas, Jayjg, Jewbacca, Humus sapiens, IZAK, Lance6Wins, Yoshiah, MathKnight, Gamaliel, Evolver of Borg, Jfdwolff, etc etc etc?  20:15, 22 Dec 2004 (UTC)",0,1,FP
7367,edc0a7350c8f06b2,"""
Well I'm sure you will provide the required evidence then.  Also, I will do what I like when expunging utter crap from Wikipedia.  (talk) """,0,1,FP
2904,29a59bd78b4d6c95,""" LIL Wayne plans on doing a remix to the track """"Mutha Fukin Nigga"""" with hot new hip hop artist Tyler Robinson""",0,1,FP
25218,702cbe5dbcf22a8d,"This article is a puff piece for Felix Rohatyn, a man many regard as a Nazi worm.",0,1,FP
7417,10af9b252cee2951,"No, its clear now. I'm just a little frazzled. Forget it.",0,1,FP
2560,05972d7bfccf7845,"I can  understand you. YOU DEFINITELY did not read the (Wikipedia:Articles for deletion/Assassination plots in the Three Kingdoms). Haha.. Did you ever visist Assassination plots in the Three Kingdoms, the target of AfD? Did you ever understand what the 曹操 is? I once again say to you that THEY ARE LOTS of people who are fond of The Three Kindgoms. Books, Movies,TV series, and manga and games of it.  You DEFINIELY are not one of them!! It is a disgrace to Three Kingdoms that someone like you deleted that page. Like a pig shitted on the book of Goethe. (  )",0,1,FP
21335,eea7496813b63461,"Elite Global Products Limited 

Elite Global Products Limited Founded by Mr. Ramesh Patel in the year 2004. The Company is well known for the distributor of the designer home and kitchen appliances, which are manufactured by exceptional technological finesse, precise control with remarkable ease for use. The said Kitchener and Accessories include Refrigerators, Ovens, Warmers, Cooking Ranges, Built-in Service Cooking Appliances, Ventilators, Kitchen Clean Up (Waste Disposers & Trash Compactors), Coffee Machines, Wine Cellars, Counter Top Appliances, Laundry, Food Servicing Suggestions, Culinary and Outdoor Products. When creating a Dream Kitchen, there are plenty of options in the above brands, matched to your hearts content and fulfill your dreams.",0,1,FP
1921,1c2f71440f951794,"He's a big boy, he can look after himself. Are you his father?86.148.20.38",0,1,FP
1814,4bd22ac38680d567,"""Note: do not reply quoting """"Wikipedia policies"""" or anything similar because I will simply label you a pathetic bureaucrat and question the point of your life if you do so. """,0,1,FP
10235,13073f8555709638,He kinda got it right. Stop spamming his talk page. It's very mature.,0,1,FP
20787,8529c937a0edbd51,"Be cool when someone offends you!
Be cool when someone trying to kill you and already generated hills of bodies.
Just be cool.
Ok? I would leave your community and would advice others not to visit and not to donate anymore to place that tolerate offense of my country.
I guess your community will be satisfied that such not cool users won't visit anymore.
If I Ukrainian tell you that it's offensive than who else can decide it for?
That white people decide stop to call/name African Americans with the word N? Or that was their struggle?
A habit is not a truth. It's just a habit. Be up to date please.
Thanks!",0,1,FP
27949,21e00fde3f4f4ee9,"""

You are out of your mind man.  Most all the links there had everything to do with XDCC, which is the topic.  Some were XDCC clients and others were XDCC search engines.  Is your nazi attempt at control and punishment the norm here at wiki?  """"You don't like my changes so I will remove everything""""?  You expect to get respect doing things like this?  Just so you know I will be reporting your abuse of position.""",0,1,FP
1768,f7042482979c0097,"LOL he really thinks he can block me hahha thats funny, the only smart thing he did is lock his talk page you cant block the unblockable! 118.98.215.130  
AND THIS ONE. 117.102.102.106  
 oh ya this one 2 82.193.157.233",0,1,FP
3058,2f702c693eeef06e,Nobody likes a snitch.,0,1,FP
7140,0678a7fbe73a8284,The Christians actually created the idea of Satan by demonizing the god that the Wiccans worshiped.,0,1,FP
24957,997eb1e4a636c994,"""

Checking AGK's edit here. Aha, I understand what went wrong to begin with, before I even got there. Stupid template saw the brackets and thought it was a title such as """"Amsterdam (novel)"""". I learned something.  | talk .""",0,1,FP
28710,b383da7938f854c4,what's the difference? the album was and is a flop.,0,1,FP
25235,f1f2f1b866a46e33,"""

 Administrative Clique 

Congratulations! To Rodhullandemu et al. It seems I've been banned indefinitely because I used a naughty word. How very, very mature of you all. Well, to quote the T-1000  """"I'll be back!"""". In the meantime, you lot carry on your superheroic crusades removing vandalism *chortle! chortle!* and making Wikipedia a safer place *eye roll*. It's good to know somebody's making a difference in this world. But - and I know it's a big but - if you can tear yourself away from your pc for a couple of minutes to take a long look in the mirror - do it! Believe me, y'all need to. Peace.""",0,1,FP
25364,1a8e159d3f23863d,"I did not forge anyoones signature. I copied and pasted something from his archives so unblock me. 
What Are You GoinG 2 Do AbouT AcuMAn???
I take it your an admin. What are you going to do about this guys racist edits. He has me pissed. I looked at his contributions they are all negative and he is trying to portray a bad image of Mid-Eastern people. I even saw racist comments. I am really pissed with this guy. I see what he is trying to do. Make Arabs and Iranians fight each other. It is low I tell you just like the foreign policy of Israel.",0,1,FP
8555,b67f0f9fb4f4ca4a,"Gimme a break, these are HOT DOGS not frankfurters.   They've been called HOT DOGS for a century or so.   Just as we wouldn't change French Fries to Freedom Fries cause Georgie B says so we also aren't going to change HOT DOGS to some out-of-date hickville term like frankfurters cause some bloke down underwhere says thats what his mommy calls them.   Times change, buddy.   And Australia has a grand total of 20 million people, half of them speaking English as a third language.",0,1,FP
22231,a09e85b13b123f21,"I don't know why you haven't seen them, but I assure you there are. I have a couple of friends who are new to wikipedia and I told them to post and they say that there's no way to edit it at all. 

And it seems to me by your previous post that you're not acting in wikipedia's best interests simply because of my behavior on my own user page. I certainly hope that's not the case here, but that's how it looks. 

Furthermore, I was unaware that I'm not allowed to edit the content on my own user page. The reason I've blanked my content on there is because Trueblood keeps asking me questions and is really pissing me off, and instead of giving him a personal attack, I've chosen to ignore him. Instead he is reverting my page. Well, now I know I'm not allowed to change the content on my page, but I figure you might want to warn him not to revert everything I do simply because he doesn't agree with it. Because his harassment and his following me around and reverting me is really beginning to piss me off.",0,1,FP
2976,cf83849a1ac5d54b,"You are of course depending on cooperation from back-stabbing members of your own party on this one, Kiernan. When legit dissenters tried these arguments, they got range-blocked or kicked off. This page and everyone working on it now will ultimately be a waste.",0,1,FP
4230,d8b4e2530717aa6e,"Erm 

What the hell is wrong with this *disambiguated* page? Why is there red links? The whole point of a page of this nature is to find something quickly which can be defined in many ways obviously you cannot go to a page which has a red link!",0,1,FP
407,f6a1ceb625fbd0db,"kiss u 

look at u playing cute....if ur a guy..u need to man up...if ur a girl...its my lucky day..:)",0,1,FP
5811,86e8b9ddaf214b90,""". Years of adversity and meditation have taught me that when people cry """"abuse"""" when you ask about money, there is ALWAYS dirty work at the crossroads""",0,1,FP
4534,c0c318630d9b0348,"Sorry to make you whine 

It wont happen again",0,1,FP
19713,41d96bf06a04092f,"Hi ,

Do not vandalise the pages . This is a warning.",0,1,FP
16639,a012e5716ee3329b,ridiculous. The wikipedia gods got me...,0,1,FP
20766,0201a8db49c688ad,"Celebrities 

Talk about your fave celebs and even your crushes!",0,1,FP
4180,4e386e9a43766aaf,I acquired your Tyrant Dragon today. I will give it to you at school tomorrow.,0,1,FP
7580,0958e6367f75ae94,"GRRRR 

CatJewbBear is a real story. Now Im mad! GRRR. Actually Im not mad, but it is real cause I wrote it.",0,1,FP
21657,dc66a491fb22b300,I have super bad breath,0,1,FP
3347,5cd2e6054fa964ac,"Let me continue editing because there are some other articles, not just the subway, needs touching. There are many words repeated one after another in a grammar on some articles and I need to re-fix them. How about you just let me be, I won't say a word to your loving comrades for how they accused me numerous times about my thoughts and editing. I don't like people running off their mouth at me with no sense of knowledge when I'm trying to fulfill my desires in editing here. I don't care about you either, I am trying to improve the articles about the subway unlike you who is sucking up to your boyfriends. D:< 68.194.58.106",0,1,FP
19011,b5ff8daab110a26d,"give Chaser 
give the dude named chaser a gold start
he helped me out",0,1,FP
5994,e73f0c336926377f,"Okay, thank you very much!!",0,1,FP
6896,0f9dff7917991fea,"UT

stay away from somaliland artciles why are you hating on somaliland for  please tell me? and if u r somali i kno u are Hamar ? if somaliland get recognised it will benefit somalia don't you understand that and you are Siad Barre fan.   (talk",0,1,FP
18921,1a5c51eba4acd8d4,hi mat damen MAT DAMON,0,1,FP
3169,75241b1823ccacc4,"""

 you are Southern Baptists'? 

No! nobody in a southern baptist church  post garbage as """"free distribution of bibles by protestants led to PROFANE uses from Bible"""".
And you call it a neutral point of view?.
What book from southern baptist theology you has ever reads?.
I`m a baptist.
your catholic proselytism using wikipedia will be reported to jimbo wales.
I will writes entire articles on catholic massacres from evangelicals,orthodoxs and jews.
If you delete it,I will writes it again and again.""",0,1,FP
231,54a897a362a3baa2,"""

 A cheeseburger for you! 

  Lolcatz. Talk """,0,1,FP
16563,e0fe7d4e2cac1945,"He also tried to claim that I falsely accused him of lying. This is pitiful, and yet predictable - every liar always says they are falsely accused of lying. He has lied on SEVERAL occasions about users, today is not the first. .. Fact is he falsely accuses me of making an inexcusable edit when in fact I went to edit the wrong page by mistake  but instead of trying to find out what happened, he did what an opportunistic bully like him does and used it as a means to lie and say it was malicious. Please don't fall for his BS.
Darn right this has to end  WilliamJE's 2-year reign as the bully of Wikipedia will stop.",0,1,FP
4204,1eba24f01419022b,"""

Hey MF someone messed up the Maura West Diane Jenkins picture on her page and I'm don't know how to fix it, its really simple but I don't know what to do. I was the last to edit the page but I didn't mess up the picture, I was merely trying to fix it. Could you take a look and fix it? Hope I'm not asking too much. Thanks!  Talk? """,0,1,FP
22812,6132391799f1dbce,you should be an admin,0,1,FP
3102,8757a869d307905f,"Snake-oil pluggers, now that's a cute one. You want to talk snake-oil? In what world do you pump a body full of chemotheraphy, hoping to poison the cancer out of a human body?

You're an uneducated bigot.

http://www.encognitive.com/files/Top%20Japanese%20Surgeon%20Uses%20Gerson%20Therapy,%20Publishes%20Research.pdf",0,1,FP
11750,f950d78caf74ab8c,hmm man i swear like i understand that and its totally right.. but like cant u just do it for like 1 minute.. like millions of ppl will hardly see it.. and they will just assume u havnt deleted sum1's edit yet.. u get wat i mean,0,1,FP
16259,7c5b0d7639083330,"I'm glad that Hugo has admitted that I'm being competent in getting Xerographica unblocked - which is my goal.  Right now, it's actually Hugo who's doing the most damage to that with his wild accusations.  I'm also glad that he has proven by his very link above that I did not call him a jerk, nor have I called him a liar.  Srich and Arthur - I highly suggest that you 2 disengage from Xerographica - indeed, I would expect that any unblock conditions would include some form of interaction ban between the 3 of you.  Srich - any further edits by you this talkpage will be considered harassment, unless it is a formal notification or valid warning of some type.  Hugo: have a little good faith sometimes - I declined your unblock after it already expired - that's proven.  Now if you really want Xero unblocked, you'd be wise to stop raising shit. (✉→''''''←✎)",0,1,FP
27884,3c1e3c9ccb3d8fe3,"He removed my comments
and that pissed me off. If you know him ask him to play straight. =",0,1,FP
5945,6d4ee131e31ffdfe,Isn't lactose a disaccharide? The article refers to it as a monosaccharide.,0,1,FP
11714,1de7ff74bd354bd0,"Backstreet Burk! 

The article missed Backstreet Burk Parsons!

http://www.rts.edu/quarterly/winter01/parsons.html",0,1,FP
16997,05794a042eca3645,"You act like you are constructive and you make sense; but I honestly think you are reverting changes just out of stubbornness. You are not being honest, nor you are being constructive. I think you guys have some sort of agenda that you are not being honest about.",0,1,FP
6637,e0f2e923fd4e267e,"""

COI concerns
Simply put after relentless questioning, including repeating same question over and over again, to the point of harassment, I decided to try to figure out your POV through your list of contributions. If I'd seen your edits were all very pro-Israel, I'd have one viewpoint. If I saw they were all anti-Irish, I'd have another. But when I went to your contributions page, low and behold most of your articles are related to S&M;, including involving women. Just looking at a few pages, it's not like your POV is """"these are disgusting."""" 

So I have to wonder if you are financially benefiting yourself by engaging in a little written free sadism against a female, something which you'd have to pay quite a bit of money per hour for, even if you just did it online with someone who specializes in that kind of sex work. So I've brought it up here per WP:COI policy.   """,0,1,FP
4122,32b5165d1221401f,USE US SMALL BRIAN 04ARNOLS STANDS FOR ANOLD S AS IN SIMON E ARNOLD U DONKEY SHE WAS HELPIN A M8 GET ALIFE INSTEAD OF STOPPING POEPLES FUN WICH IS DOING NO ONE NO HARM AS IT IS ON USER PAGES SO THERE  well u grass,0,1,FP
6834,13087c84c3a74635,"""

 Give a reason when you accuse someone of vandalism 
I got a message telling me I got blocked. I made 2 changes on the same page, correcting the mispelled word """"brian"""" into brain, and changing a wrong reference to the correct one. So please tell me, what the fuck is your problem ?""",0,1,FP
12905,4a7be384b9fdc356,[User:Ponyo]] we are sisters y'all are so crazy for blocking me i didn't do anything wrong you people want everything your way it makes no type of sense',0,1,FP
2364,0bbcdec92a4de207,(pasted from Sandbox @,0,1,FP
26190,76f970afcfbedc22,"STOP IT 

THIS IS THE WIKIPEDIA.  STOP INSERTING YOUR RIDICULOUS POV.  ~CaliforniaDreamlings",0,1,FP
5172,26e4b1574d8c920c,"funny it is 
, heh.",0,1,FP
5563,f1301ec5081f6041,"He'd better stop it... BTW, how do you like the Melano Supriatna-article?",0,1,FP
5670,b5abea9357bd7ac7,"Wikipedia  - STILL a Laughing Stock 

I came here to learn more about the woman who was savagely raped in Egypt while liberals in the USA congratulated Barack Obama for bringing freedom to Egypt. That's sad enough. But then I find you guys WHITEWASHED her entire love triangle story. I read the Personal Life section and it didn't make sense until I was vaguely reminded of this drama of a few years ago. It dawned on me that since Lara is a liberal, you guys contorted and twisted this story to leave her looking nearly blameless.

Now, undoubtedly THOUSANDS of people will come to Wikipedia looking for more info about Lara and they'll remember the love triangle, see how you accounted for it, and realize what a JOKE Wikipedia CONTINUES to be.

Prayers for Lara. Wikipedia too, I guess... 65.48.16.58",0,1,FP
15236,f686c5718f7ebf59,"Or to cease stalking my contributions, baiting me and goading me after being repeatedly asked not to post here.",0,1,FP
27392,5ae4f13e61f0f1c2,"Thanks for the offer but I think the admin are so blinded by their own hate and some users are just abusive that I do not see the point in putting myself through all that just to correct an article that everyone is fighting to keep incorrect!

why bother?",0,1,FP
9770,701d00bbfdd4654c,"Thank you for the explanation. Now I know exactly what your issue is. Not. Seriously, can you be any more ignorant? I mean, are you actually trying to be an asshole? It's a simple process - you object to something, I ask what the issue is, you give an answer. Prick.",0,1,FP
21181,047c213edcb89ebd,"All I do is revert vandalism.  It's all there is to do, since the admins are so incompetent.  If anyone worth a shit paid attention to the SPI report(s) I've made about Pe de Chinelo, you dumbasses wouldn't need to waste time with your current ANI thread.",0,1,FP
5746,157faa0bc3c918dc,"Message
Fine. Is it okay to type Chuckie got killed because he's an evil man? (99.88.78.94  ).",0,1,FP
8529,4a2b6a5294e7e0b2,OH HOW AWFUL WHAT A TERRIBLE PENALTY I HAVE HAD BANS MORE THAN ENOUGH I HAVE MILLION IP:S BTW,0,1,FP
28289,a754d8fc75cf0b36,"Sarah Palin? US Christians?? That was a joke, right?",0,1,FP
27451,942d3815c315a34e,"do not bother me please ==
i am my own person i realize that i dont own wikipedia but thats no reason to badger me for needing somwhere to hang out with friends who have moved from town but i will delete your posts if you dont stop bothering me

==",0,1,FP
22684,d1f2d6884136df24,"Ranger disambiguation page 

Nice job! I was surprised to see a change of that size that wasn't a reversion. All across the board, that was a damn fine edit. If I cared about barn stars, I'd give you one.",0,1,FP
6331,aaa2bf853800d7ee,"Where did I attack him????? Where I only put back my homework, whats wrong with you dude?",0,1,FP
25336,2e8dbcc58b87cbce,"I don't care if you put 100 warnings. I'm not a racist, so you take it back. Just because I think there are Hebrew fanatics, and Christian fanatics, and Atheist fanatics it doesn't mean I'm a racist.",0,1,FP
5177,046d6453800d0ccd,($80 billion clean- technology program has begun to look like a political liability for an administration about to enter a bruising reelection campaign.} Whats $80 billion among political friends... But I guess only Brain Dead Imbecile would care if 80 billion is misspent by political friends of Barry O. 68.57.193.169,0,1,FP
10734,80f98b35e3a321c1,"""**As long as the category exists on Wikipedia, it applies to Leonard Peltier.  It's a matter of public record.  He's a convicted killer, regardless of what some people think.  For example, even though most people believe O.J. Simpson is a murderer, it would violate Wikipedia rules to add the """"American murderer"""" category to him because he was never convicted.  However, Peltier was convicted and has never had a successful appeal to date.

""",0,1,FP
14831,f0b46600c7cf2515,"""""""And at least Castro was trying to liberate Cuba from US domination and uplift the working-class""""   Oh, really?  I thought he just wanted naked power, like every other asshole dictator on the planet.  I guess you're right, though, he has in fact allowed numerous free elections since he took power.  Moron.    Alex7777

""",0,1,FP
20123,c87a0774e4ab5c9e,Gah!  Scary unicorn!  I can quite assure you that I will never (NEVER!!!) write my own Wikipedia article: main reason being that I will never be notable enough for one. At least not if I can help it.,0,1,FP
25633,d536882a1eb64471,No problem I;m still licking my wounds from my last encounter so when I saw what you were doing I though I would shield you from friendly fire.,0,1,FP
19815,d3e2f3e51b1411f1,"*  IP address: 87.112.72.201
    * Blocking admin: Ck lostsword
    * Block reason: Attempting to fix non-NPOV article in the face of uneducated other users: a personal attack with only one warning a second before, only on Xenophobia
    * Block originally applied to: 87.112.72.201
    * Your account name (if you have one):
    * An explanation of why your block is unfair: 1. admins trolling and conducting and edit war on the basis of trying to enforce their non-NPOV views on an article incited my annoyance (nobody likes trolls) 2. inappropriate use of warnings by incompetent admin not seeing an asymmetric edit war taking place (a couple of warnings would have been apt; blocking is an overreaction, and slighty pointless when I have access to several hundred computers and a huge range of potential IP addresses to use - i.e.: it's spiteful.",0,1,FP
27555,fbca6962c1b2e1bf,"FOR THE LOVE OF GOD KEEP IT!!! 

you have an article about mr hands, you have an article about freaking camel toes. Yet you are going to delete which my quite possibly be the best thing to ever happen on the internet?  For the love of god man, keep this article, it's only going to get better!",0,1,FP
5154,1a67395d931587cd,"And I GAVE you people sources, and that still wasn't good enough.  How can some moron who lives nowhere near Chatham-Kent be allowed to edit entries about a city they know NOTHING about?  Stop this nonsense.  It's getting old.",0,1,FP
6797,ea1df789e91b555f,", this block is just beyond petty and unjustifiable",0,1,FP
14583,fb4fdbaf98aa042d,"Batteries 

I see you dont like me battery boy.",0,1,FP
9503,bbcfadeabba30336,"Well, so long as he hits you over the head when I screw up, I think that things will go fine for us!",0,1,FP
23057,cbca2fbf293b59ff,"Quit hounding me, Dominick.",0,1,FP
19630,e44b64c3006f4a2a,"What did I do that was vandalism first of all and second off all the only thing you ever did was accuse me off something I never did. You think I'm stupid, You think I'm a idiot, and you hold a huge grudge against me. So to be honest don't even think of letting that block expire because you now what I would never want to contribute anything useful to this site ever!",0,1,FP
1602,ae9b94e659ab188b,"""
Of course it's censorship. You think censorship is bad, and because you think Black Kite's edit was justified it can't be censorship? What, are they issuing admin bits to moral morons, nowadays?
And Black Kite's another. I don't care if he is an admin, he's too big for his britches if he thinks it's ok to put a snarky """"m"""" on any edit CENSORING another Wikipedian.   """,0,1,FP
20467,eeccbcdd2b9dab7a,"""

AFL Attendance
You know I mean """"stays""""!!!!!!!!!!! Use your common sense!!!!!!!!!!!!!!!!!!!!!!!!
''''''  """,0,1,FP
27666,80e0b91bdea43fd3,"personal attacks 

dont tell me what i can and can not do i'll come over there right now and throw a brick through ur window",0,1,FP
19885,9ea531f493ed34b9,"""Speedy deleting an article AFTER it's been fixed???==
Because it's """"better to nuke it and start from scratch""""?  Utter lunacy.  No wonder editors are leaving Wikipedia...    

==""",0,1,FP
4599,06592fde7f95a2e0,"""
She's back in rehab again? Damn gorl, giving Winehouse a run for money? —  (talk2me) """,0,1,FP
6144,d7dede9f4e43c210,"I protest! 

Well now I experienced my first Cyber facist, and it looks like its a Swede??? Where should I protest?",0,1,FP
18764,9a4b3f519b7da6b0,"Yay! 

700th edit! ^.^",0,1,FP
5691,4153ff53c2bdede3,""" (UTC)

I do think it's worth adding a criticism section. I actually won't let my kids watch it because the english (and spanish) is terrible, the manners are terrible, I think it's subtly racist (why does dora cross a river in every episode?), I think the fox is a subtle knock on jews and I think that boots is a subtle knock on african americans. Handy Manny is a good example of a nonracist show which has none of these problems, but I think they're going so out their way to make dora """"special"""" it comes off as trite. Blogs: http://jeremybiggers.blogspot.com/2006/01/racism-in-children-shows.html Bitch mag: http://bitchmagazine.org/article/factory-girl today.com: http://writingisfun.today.com/2009/12/07/dora-the-explorer-is-a-wetback/   20:13, 23 March 2010""",0,1,FP
3106,d411767f1b2ec6f5,"Hey, can you guys unblock me long enough so that I can ask Scjessey for his Fried Crisco recipe?",0,1,FP
14800,5dc106fd3af666ec,"Carol, I swear to god, I know you haven't seen this yet, but keep your mouth shut. You are a voice of the state, not of the people. I know this is complicating-sounding to you, but you are an unwitting participant in the movement which results in the destruction of the peoples' freedoms'.",0,1,FP
25417,b60f4b7d429ae25f,"(UTC) ****  I CANT BELIVE THIS COMMENT IS STILL ON HERE! RIVER PHOENIX DID NOT DIE OF A PIT BULL ATTACK, AND EVERYONE KNOWS IT !!!!!!!! REMOVE THIS COMMENT!!! 204.99.118.9  23:28, 15 December 2011",0,1,FP
8110,ec32c1436c91dfee,I'm Chillum. I'm living proof that Wikipedia does not discriminate against slow learners. They even let me be an admin.,0,1,FP
25619,7439dd70a0f8cb9b,"Bishonen
If not there, then where? NO admin cat seems to qualify. It's OK for him to cast aspersions on my front page (I appreciate technically it is Wikipedia's not mine)? It would do no good if I just blanked his and wrote crap on his. So where, then?

S",0,1,FP
16632,7e37a100e449c1ba,thank you to come on my talk page and insult me in future. Abuse,0,1,FP
24205,6f1f86e04f3e6814,"Mr.Koman,You claim to belong to a warrior caste by hiding behind a psuedo name!You dont even know the history of palattu koman or you wouldnt have selected that name!Your comments throughout are immature and childish.You are a Nair fanatic who derives a preverse pleasure in belittling others.This is a sign of poor upbringing.I am pasting some comments about nairs by tipu sultan this might help you to know your self.
Anil kumar
http://www.jaihoon.com/watan/indarbmappilacommunity.htm
Here after you must proceed in an opposite manner, dwell quietly and pay your dues like good subjects and since it is a practice with you for one women to associate with ten men and leave your mothers and sisters unconstrained in their obscene practices and are hence all born in adultery and are more shameless in your connections than the Beasts of the field",0,1,FP
6672,16cd5db72657d3fc,"other stuff that shouldn't really be on my front page.  Though I don't know why.  Doesn't matter anyway
Blah!
http://www.findarticles.com/p/articles/mi_m1132/is_n10_v48/ai_19344901",0,1,FP
5696,1f251a81bfa33160,"But I also think you should listen to them...

...children of the night. What music they make.

Hihihihi...

I'm unstoppable! Superhuman ich bin! Nih. 62.216.118.84",0,1,FP
10182,bbc5b223122a7ead,"37 Signals 

I think your effort was heroic. I have replied to your comment on the 37 Signals Afd page, I hope its clear that my comments were about the circumstances, not your efforts to save the article, which were fantastic. I think to any objective reader you come out of this better than anyone else. I wish I had your patience and calmness to just to do what the idiots ask...",0,1,FP
25735,1eaec11ce2523ab2,"This was an armed conflict between the Shower Posse and Jamaica's military. That term does not only apply to cops. You're pulling straws now, lol.",0,1,FP
14707,137c77594e407420,Yeah Barekk is just a kid.,0,1,FP
